MSSubClass,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,OpenPorchSF,HouseStyle,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageFinish,GarageQual,GarageCond,MSZoning_RL,MSZoning_RM,LotShape_IR,LotShape_Reg,Neighborhood_NAmes,Exterior1st_VinylSd,MasVnrType_Other,Foundation_CBlock,Foundation_Other,Foundation_PConc,CentralAir_N,CentralAir_Y,GarageType_Attchd,GarageType_Detchd,SalePrice
6.0,50.0,4,4,1920,1950,649,668,1317,1,0,6,0,1,54,2.0,3,3,1,1,3,3,0,1,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,40000
1.0,69.0,5,6,1966,2006,1228,0,1228,1,1,6,0,1,65,1.0,3,3,1,1,4,4,0,1,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,149350
1.0,85.0,8,5,2007,2007,1234,0,1234,2,0,7,0,2,30,1.0,4,5,3,1,5,4,0,2,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,179900
1.0,70.0,5,5,1959,1959,1398,0,1700,1,1,6,1,2,38,1.0,3,3,1,3,4,4,4,2,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,165500
9.0,60.0,9,5,2005,2005,1561,0,1561,2,0,6,1,2,47,1.0,5,5,1,6,5,5,4,3,3,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,277500
5.0,108.0,8,5,2004,2005,1117,1320,2452,3,1,9,1,3,32,2.0,4,5,3,1,5,4,4,3,3,3,1,0,0,1,0,1,1,0,0,1,0,1,0,0,309000
1.0,112.0,5,5,1994,1995,1097,0,1097,1,1,6,0,2,64,1.0,3,4,1,1,5,3,0,1,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,145000
1.0,74.0,5,6,1954,1990,1297,0,1297,1,0,5,1,2,0,1.0,3,3,1,3,4,3,3,3,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,153000
1.0,68.0,5,7,1953,2007,1057,0,1057,1,0,5,0,1,52,1.0,3,3,1,6,3,4,0,1,3,3,1,0,0,1,1,1,0,1,0,0,0,1,0,1,109000
8.0,65.0,4,5,1955,1955,0,0,1152,2,0,6,0,0,0,1.0,3,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,82000
1.0,84.0,6,5,1965,1965,1088,0,1324,2,0,6,1,2,138,1.0,3,3,1,3,5,3,3,2,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,160000
1.0,115.0,5,6,1959,1959,1350,0,1328,1,1,5,2,1,104,1.0,3,3,4,4,4,3,4,2,3,3,1,0,0,1,0,1,0,1,0,0,0,1,1,0,170000
7.5,69.0,5,7,1983,1983,840,0,884,1,0,5,0,2,0,0.0,3,4,3,5,4,4,0,2,3,4,1,0,1,0,0,0,0,1,0,0,0,1,1,0,144000
1.0,69.0,5,6,1975,1980,938,0,938,1,0,5,0,1,0,1.0,3,4,3,2,3,3,0,1,3,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,130250
1.0,70.0,5,6,1959,1959,1150,0,1150,1,0,6,0,1,0,1.0,3,3,1,5,5,3,0,2,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,141000
9.0,61.0,9,5,2005,2005,1752,0,1752,2,0,6,1,2,82,1.0,5,5,1,6,5,5,4,2,3,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,319900
4.0,48.0,7,5,2003,2003,1434,631,2149,1,1,6,1,2,43,1.5,4,5,1,6,5,4,5,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,239686
1.0,84.0,8,5,2006,2006,1656,0,1656,2,0,7,0,3,146,1.0,4,4,3,6,5,4,0,2,3,3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,249700
13.0,33.0,4,5,1920,2008,736,716,1452,2,0,8,0,0,0,2.0,3,3,1,1,4,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,113000
1.0,66.0,5,7,1966,1966,955,0,955,1,0,6,0,1,0,1.0,3,3,1,4,5,3,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,127000
5.0,69.0,6,6,1997,1997,794,676,1470,2,0,6,0,2,75,2.0,3,4,3,6,4,3,0,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,177000
4.0,52.0,6,6,1934,1950,816,0,1176,1,0,6,1,2,0,1.5,3,3,1,1,3,3,4,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,114500
8.0,110.0,5,5,1963,1963,816,0,816,1,0,5,0,2,0,1.0,2,4,4,2,3,3,0,1,3,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,110000
1.0,68.0,9,5,1981,1987,1842,0,1842,0,1,5,1,3,72,1.0,4,5,4,6,4,4,4,3,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,385000
7.0,60.0,5,5,1955,1955,384,0,1360,1,0,6,1,2,50,0.5,3,3,1,5,3,3,3,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,1,130000
1.0,100.0,6,5,1964,1964,1425,0,1425,2,0,7,1,2,0,1.0,3,3,1,4,4,3,4,2,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,180500
11.0,24.0,8,5,1999,2000,970,756,1739,2,1,7,0,2,0,2.0,4,4,1,6,5,4,0,3,3,3,0,0,0,1,0,0,0,0,0,1,0,1,1,0,172500
5.0,89.0,7,5,2004,2004,860,860,1720,2,1,7,0,2,70,2.0,4,4,1,1,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,196500
5.0,66.0,10,5,2006,2006,1410,1519,2945,3,1,10,1,3,0,2.0,5,5,4,1,5,4,4,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,438780
1.0,60.0,5,7,1972,1972,780,0,780,1,0,4,0,1,0,1.0,3,3,3,5,5,3,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,0,1,124900
1.0,63.0,6,5,2004,2004,1158,0,1158,1,1,5,0,2,50,1.0,3,4,1,5,5,4,0,1,3,3,1,0,0,1,0,1,0,0,0,1,0,1,0,1,158000
6.5,60.0,5,7,1920,1996,530,530,1111,1,0,6,0,1,0,2.25,3,3,1,1,3,2,0,1,3,3,0,1,0,1,0,0,0,0,1,0,1,0,0,1,101000
9.0,44.0,8,5,2006,2006,1370,0,1370,2,0,6,1,2,49,1.0,4,4,2,6,5,4,4,2,3,3,1,0,1,0,0,1,1,0,0,1,0,1,1,0,202500
6.0,50.0,7,6,1921,1950,576,808,1710,2,0,9,0,2,11,2.0,3,3,1,1,4,3,0,1,3,3,0,1,1,0,0,0,0,0,1,0,0,1,0,1,140000
5.0,69.0,7,5,1997,1998,1057,977,2034,2,1,8,0,2,36,2.0,3,4,1,6,5,4,0,2,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,219500
5.0,76.0,8,5,2004,2005,1143,1330,2473,2,1,9,1,3,151,2.0,4,5,3,1,5,4,4,2,3,3,1,0,0,1,0,1,0,0,0,1,0,1,0,0,317000
1.0,69.0,7,5,1970,1989,1947,0,2207,2,0,7,1,2,0,1.0,3,4,4,6,3,3,4,2,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,180000
1.0,72.0,7,5,2003,2003,1453,0,1479,2,0,7,0,2,29,1.0,4,4,3,6,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,226000
2.0,47.0,4,6,1945,1950,747,0,747,1,0,4,0,1,0,1.0,3,3,1,1,3,3,0,1,3,3,0,1,0,1,0,0,0,1,0,0,0,1,1,0,80000
4.0,81.0,7,4,1953,1953,1304,983,2287,2,0,7,1,2,21,1.5,4,3,1,4,3,3,3,3,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,225000
1.0,95.0,7,6,1973,1973,2223,0,2223,2,0,8,2,2,0,1.0,3,4,4,5,5,3,4,3,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,244000
1.0,69.0,4,6,1982,2006,845,0,845,1,0,4,0,2,0,1.0,3,3,1,5,3,3,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,0,1,129500
5.0,74.0,7,5,1998,1998,832,833,1718,2,1,7,1,2,94,2.0,3,4,1,1,4,3,3,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,185000
1.0,85.0,5,7,1954,2003,1086,0,1086,1,0,6,0,2,0,1.0,3,3,1,5,4,3,0,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,144900
4.0,60.0,3,6,1915,1950,840,765,1605,2,0,8,0,1,0,2.0,4,2,1,1,4,3,0,1,3,3,0,1,0,1,0,1,0,1,0,0,1,0,0,1,107400
12.0,21.0,4,5,1973,1973,462,462,988,1,0,5,0,1,101,0.5,3,4,4,6,3,3,0,1,3,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,91000
1.0,69.0,4,7,1956,1956,952,0,952,1,0,4,0,1,0,1.0,3,3,1,5,5,3,0,1,3,3,1,0,1,0,1,1,0,1,0,0,0,1,0,1,135750
4.0,50.0,5,5,1948,2001,672,213,1285,1,0,6,0,1,0,1.5,3,3,1,4,3,3,0,1,3,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,127000
8.0,72.0,4,5,1968,1968,1768,0,1768,2,0,8,0,0,0,1.0,3,3,1,1,3,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,136500
4.0,60.0,5,6,1910,1981,440,548,1230,1,1,5,0,2,0,2.0,3,3,1,1,4,3,0,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,110000
5.0,100.0,6,6,1968,1968,896,960,2142,2,1,8,1,1,72,2.0,3,4,1,3,3,4,4,3,3,3,1,0,0,1,1,1,0,1,0,0,0,1,1,0,193500
9.0,32.0,6,5,1998,1998,1237,0,1337,2,0,5,0,2,199,1.0,3,5,1,6,5,3,0,3,3,3,0,1,0,1,0,1,0,0,0,1,0,1,1,0,153500
1.0,78.0,8,5,2007,2007,1563,0,1563,2,0,6,1,3,99,1.0,3,4,1,6,5,4,4,2,3,3,1,0,0,1,0,1,1,0,0,1,0,1,1,0,245000
1.0,80.0,5,5,1960,1960,1065,0,1065,1,1,6,0,2,0,1.0,3,3,1,1,4,3,0,1,3,3,1,0,1,0,1,0,1,1,0,0,0,1,0,1,126500
7.0,69.0,7,5,1995,1996,384,670,1474,2,1,7,1,2,72,0.5,3,4,1,1,4,3,3,3,3,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,168500
5.0,121.0,8,5,1991,1992,1288,1116,2417,2,1,9,1,2,82,2.0,4,4,1,1,5,4,3,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,260000
5.0,122.0,6,5,2005,2005,684,876,1560,2,1,6,1,2,38,2.0,4,4,3,1,5,4,4,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,174000
11.0,40.0,6,5,2009,2009,612,612,1224,2,1,4,0,2,234,2.0,4,4,3,1,5,4,0,2,3,3,0,0,0,1,0,1,1,0,0,1,0,1,0,1,164500
4.0,105.0,3,2,1915,1982,1013,0,1526,1,0,6,0,0,0,1.5,2,3,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,85000
1.0,60.0,4,5,1994,1995,990,0,990,1,0,5,0,0,0,1.0,3,4,1,6,5,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,123600
1.0,60.0,4,5,1950,1950,0,0,1040,1,0,4,0,2,29,1.0,3,0,0,0,3,3,0,1,3,3,1,0,0,1,1,0,0,0,1,0,0,1,0,1,109900
1.0,85.0,5,3,1961,1961,1235,0,1235,1,0,6,0,2,0,1.0,3,3,1,3,3,3,0,1,3,3,1,0,0,1,1,0,1,1,0,0,0,1,1,0,98600
2.0,80.0,5,7,1921,2006,876,0,964,1,0,5,0,2,0,1.0,3,4,1,5,5,3,0,1,3,3,1,0,1,0,0,0,0,0,1,0,0,1,0,1,163500
13.0,60.0,6,6,1910,1998,1214,1031,2291,2,0,9,1,2,0,2.25,3,3,2,3,5,3,4,1,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,1,133900
5.0,69.0,6,5,1997,1997,824,881,1786,2,1,7,0,2,162,2.0,3,4,1,6,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,204750
5.0,69.0,6,8,1993,1993,680,790,1470,2,1,6,1,2,63,2.0,5,4,1,5,4,3,3,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,185000
1.0,78.0,7,5,1999,1999,1588,0,1588,2,0,6,0,2,29,1.0,4,4,3,5,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,214000
1.0,73.0,4,5,1965,1965,960,0,960,1,0,6,0,1,0,1.0,3,3,1,3,3,3,0,3,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,94750
2.0,85.0,5,5,1920,1950,458,0,835,1,0,5,0,1,0,1.0,3,3,1,5,2,3,0,1,2,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,83000
1.0,77.0,4,5,1959,1959,950,0,1225,1,1,6,0,0,0,1.0,3,3,1,5,2,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,128950
1.0,69.0,6,7,1977,2001,1610,0,1610,2,0,6,2,2,68,1.0,3,3,2,5,4,4,3,2,3,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,205000
5.0,77.0,6,5,1985,1985,741,755,1732,2,1,7,1,2,46,2.0,4,4,1,1,3,4,3,3,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,178000
8.0,64.0,5,5,1979,1979,0,0,1535,2,0,8,0,2,0,1.0,3,0,0,0,3,3,0,1,3,3,1,0,0,1,0,0,0,0,1,0,0,1,1,0,118964
1.0,94.0,7,5,2009,2009,1226,0,1226,2,0,6,0,3,36,1.0,3,4,1,1,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,198900
4.0,69.0,7,4,1931,1950,1040,592,1818,1,1,7,2,1,0,1.5,3,3,1,2,5,3,3,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,169500
5.0,75.0,8,5,2003,2004,1053,939,1992,2,1,9,1,2,45,2.0,4,5,1,1,5,4,4,2,3,3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,250000
2.0,60.0,4,7,1885,1995,641,0,1047,1,0,6,0,1,0,1.0,3,2,1,1,4,3,0,1,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,1,100000
1.0,50.0,5,5,1948,1950,789,0,789,1,0,5,0,1,0,1.0,3,3,1,5,5,3,0,1,3,3,0,1,0,1,0,1,0,1,0,0,0,1,0,1,115000
4.0,85.0,5,7,1919,2005,793,520,1517,2,0,7,0,0,0,1.5,3,3,1,1,3,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,115000
1.0,105.0,6,6,1977,1977,1844,0,1844,2,0,7,1,2,122,1.0,3,4,1,4,5,3,3,2,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,190000
4.0,75.0,6,4,1954,1972,994,639,1855,2,0,7,0,1,0,1.5,3,3,1,3,4,3,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,136900
7.0,69.0,7,5,2000,2000,384,656,1430,2,1,7,1,2,0,0.5,3,4,1,6,5,3,3,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,180000
5.0,77.0,7,5,2007,2007,1264,1414,2696,2,1,10,1,3,184,2.0,4,5,3,6,5,5,4,3,3,3,1,0,0,1,0,1,1,0,0,1,0,1,0,0,383970
1.0,69.0,6,5,1953,1953,1809,0,2259,2,0,7,2,2,120,1.0,3,4,2,5,3,4,4,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,217000
6.0,61.0,6,8,1945,2002,1028,884,2320,2,1,9,1,1,0,2.0,3,3,1,5,5,4,3,1,3,3,1,0,1,0,0,0,0,1,0,0,0,1,0,1,259500
11.0,34.0,6,5,1999,1999,729,729,1458,2,1,5,1,2,32,2.0,3,4,1,6,4,3,2,1,3,3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,176000
1.0,69.0,5,5,1962,1962,1092,0,1092,1,0,6,1,1,20,1.0,3,3,1,2,3,3,1,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,139000
1.0,74.0,5,5,2006,2007,1125,0,1125,1,1,5,0,2,64,1.0,3,4,1,1,4,3,0,1,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,155000
5.0,90.0,7,5,1990,1990,1673,1523,3222,3,0,11,2,3,0,2.0,3,4,2,6,4,4,3,1,3,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,320000
5.0,65.0,6,5,2005,2006,728,728,1456,2,1,8,1,2,24,2.0,4,4,1,1,5,4,4,3,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,163990
7.0,69.0,6,5,1969,1969,938,0,988,1,0,4,2,2,130,0.5,3,3,4,5,5,3,3,1,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,180000
4.0,50.0,4,5,1939,1950,732,351,1123,1,0,4,0,1,0,1.5,3,3,1,1,4,3,0,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,100000
1.0,75.0,6,7,1958,1958,1080,0,1080,1,0,5,0,1,0,1.0,3,3,1,4,4,3,0,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,136000
9.0,55.0,6,5,1993,1993,1199,0,1199,2,0,5,0,2,63,1.0,4,4,1,6,5,4,0,2,3,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,153900
1.0,48.0,6,5,1979,1998,1362,0,1586,2,0,7,1,2,0,1.0,3,4,1,1,3,3,3,1,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,181000
13.0,60.0,6,8,1935,1982,520,0,754,1,0,5,0,0,0,1.5,3,3,3,6,4,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,84500
9.0,69.0,6,5,1976,1976,1078,0,958,2,0,5,1,2,205,1.0,3,4,1,5,3,3,3,2,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,128000
3.5,55.0,5,7,1930,1950,672,0,840,1,0,5,1,0,0,1.25,3,3,1,2,5,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,87000
5.0,69.0,6,5,1966,1966,660,688,1348,1,1,6,1,2,108,2.0,3,3,1,4,3,3,2,2,3,3,1,0,0,1,1,1,0,1,0,0,0,1,1,0,155000
1.0,69.0,5,7,1958,1991,1008,0,1053,1,1,6,0,2,80,1.0,3,3,1,3,3,5,0,2,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,0,150000
5.0,88.0,7,6,1966,1966,924,941,2157,2,1,8,2,2,66,2.0,3,3,1,3,5,4,4,3,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,226000
5.0,69.0,6,5,2000,2000,992,1032,2054,2,1,7,1,2,48,2.0,4,4,1,6,5,4,3,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,244000
1.0,75.0,5,6,1959,2002,1063,0,1327,1,0,7,0,2,0,1.0,3,3,1,3,4,4,0,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,1,150750
1.0,69.0,8,5,2001,2002,1267,0,1296,2,0,6,0,2,25,1.0,4,5,1,6,5,4,0,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,220000
1.0,78.0,5,6,1968,1993,1461,0,1721,2,1,7,1,2,96,1.0,3,3,1,3,4,3,3,2,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,180000
1.0,80.0,7,6,1970,1970,1304,0,1682,2,0,7,1,2,0,1.0,3,3,1,1,4,3,4,1,3,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,174000
1.0,69.0,5,5,1967,1967,1214,0,1214,2,0,5,1,1,111,1.0,3,3,1,4,3,3,2,2,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,143000
8.0,82.0,7,5,1988,1989,1907,0,1959,3,0,9,0,3,0,1.0,3,3,1,1,4,3,0,1,3,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,171000
5.0,73.0,8,5,1999,2000,1004,848,1852,2,1,7,2,3,106,2.0,4,4,2,6,5,4,3,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,230000
5.0,65.0,6,5,1997,1997,928,836,1764,2,1,7,0,2,99,2.0,3,4,1,6,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,231500
1.0,70.0,4,5,1971,1971,864,0,864,1,0,5,1,0,0,1.0,3,3,1,5,3,3,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,115000
1.0,78.0,7,5,2005,2005,1734,0,1734,2,0,7,0,2,24,1.0,4,4,3,6,5,4,0,3,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,260000
4.0,71.0,5,4,1952,1952,910,475,1385,2,0,6,0,2,0,1.5,3,3,1,3,2,3,0,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,1,166000
1.0,78.0,7,5,1999,1999,1490,0,1501,2,0,6,0,2,29,1.0,4,4,4,6,5,4,0,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,204000
