MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,HouseStyle,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,MSZoning_Other,MSZoning_RL,MSZoning_RM,Street_Grvl,Street_Pave,LotShape_IR,LotShape_Reg,LandContour_accidente,LandContour_peu_accidente,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_Inside,LotConfig_Other,LandSlope_Gtl,LandSlope_mod_sev,Neighborhood_CollgCr,Neighborhood_NAmes,Neighborhood_Other,Condition1_Nocondprox,Condition1_Proxcond,BldgType_1Fam,BldgType_Other,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_VinylSd,Exterior1st_Wd Sdng,MasVnrType_BrkFace,MasVnrType_NoMasVnr,MasVnrType_Other,Foundation_CBlock,Foundation_Other,Foundation_PConc,CentralAir_N,CentralAir_Y,GarageType_Attchd,GarageType_Detchd,GarageType_Other,SaleType_Other,SaleType_WD,SaleCondition_Normal,SaleCondition_Other,SalePrice
1.0,91.0,10652,7,5,2006,2007,306.0,1494,1494,0,0,1494,0,0,2,0,1,7,1,2006.0,3,160,33,0,0,0,0,0,8,2007,1.0,4,3,4,3,3,1,1,5,4,8,4,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,279500
1.0,69.0,10920,6,5,1960,1960,212.0,1253,1253,0,0,1253,1,0,1,1,1,5,1,1960.0,1,0,213,176,0,0,0,0,5,2008,1.0,3,3,3,3,1,4,1,3,3,8,2,2,3,3,3,2,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,157000
3.5,51.0,6120,7,8,1929,2001,0.0,832,854,0,0,854,0,0,1,0,1,5,0,1991.0,2,48,112,0,0,0,0,0,7,2007,1.25,3,3,3,3,1,1,1,5,3,8,0,1,3,3,3,4,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,132000
1.0,69.0,11241,6,7,1970,1970,180.0,1004,1004,0,0,1004,1,0,1,0,1,5,1,1970.0,2,0,0,0,0,0,0,700,3,2010,1.0,3,3,3,3,1,5,1,5,3,8,3,3,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,149000
8.0,72.0,10791,4,5,1967,1967,0.0,0,1296,0,0,1296,0,0,2,0,2,6,0,1967.0,2,0,0,0,0,0,0,500,10,2006,1.0,3,3,0,0,0,0,0,3,3,8,0,1,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,90000
1.0,66.0,13695,5,5,2004,2004,0.0,1114,1114,0,0,1114,1,0,1,1,1,6,0,2004.0,2,0,102,0,0,0,0,0,6,2008,1.0,3,3,3,3,1,6,1,5,4,8,0,1,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,159000
1.0,70.0,7560,5,6,1958,1965,0.0,1029,1339,0,0,1339,0,0,1,0,1,6,0,1958.0,1,0,0,0,0,0,0,0,5,2009,1.0,3,3,3,3,1,2,1,3,3,7,0,1,3,3,3,3,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,139000
5.0,101.0,14215,8,5,2005,2006,380.0,1158,1158,1218,0,2376,0,0,3,1,1,9,1,2005.0,3,240,154,0,0,0,0,0,11,2006,2.0,4,3,5,3,3,1,1,5,4,8,4,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,325300
3.5,57.0,7449,7,7,1930,1950,0.0,637,1108,0,0,1108,0,0,1,0,1,6,1,1930.0,1,0,0,205,0,0,0,0,6,2007,1.25,3,3,3,3,1,1,1,5,4,8,4,1,3,3,1,4,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,139400
1.0,75.0,9742,8,5,2002,2002,281.0,1777,1795,0,0,1795,0,0,2,0,1,7,1,2002.0,2,171,159,0,0,0,0,0,9,2008,1.0,4,3,4,3,1,1,1,5,4,8,4,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,230000
9.0,44.0,4224,5,7,1976,1976,0.0,1040,1060,0,0,1060,1,0,1,0,1,6,1,1976.0,2,100,110,0,0,0,0,0,6,2007,1.0,3,3,4,3,1,6,1,3,3,8,3,1,3,3,3,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,129900
1.0,69.0,8246,5,8,1968,2001,0.0,1060,1060,0,0,1060,1,0,1,0,1,6,1,1968.0,1,406,90,0,0,0,0,0,5,2010,1.0,3,4,3,3,2,3,5,5,4,8,3,1,3,3,3,3,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,154000
1.0,110.0,14230,8,5,2007,2007,640.0,1566,1600,0,0,1600,0,0,2,0,1,7,1,2007.0,3,0,56,0,0,0,0,0,7,2009,1.0,4,3,4,3,1,1,1,5,4,8,4,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,256300
1.0,60.0,7200,5,7,1951,2000,0.0,900,900,0,0,900,0,1,1,0,1,5,0,2005.0,2,222,32,0,0,0,0,0,5,2010,1.0,3,3,3,3,2,4,3,3,4,8,0,1,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,134800
1.0,98.0,11478,8,5,2007,2008,200.0,1704,1704,0,0,1704,1,0,2,0,1,7,1,2008.0,3,0,50,0,0,0,0,0,5,2010,1.0,4,3,5,3,1,6,1,5,4,8,4,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,306000
1.0,47.0,16321,5,6,1957,1997,0.0,1484,1600,0,0,1600,1,0,1,0,1,6,2,1957.0,1,288,258,0,0,0,0,0,12,2006,1.0,3,3,3,3,4,4,1,3,3,8,4,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,207500
2.0,60.0,6324,4,6,1927,1950,0.0,520,520,0,0,520,0,0,1,0,1,4,0,1927.0,1,49,0,87,0,0,0,0,5,2008,1.0,3,3,3,3,1,1,1,2,2,8,0,1,2,3,3,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,68500
6.0,50.0,8500,4,4,1920,1950,0.0,649,649,668,0,1317,0,0,1,0,1,6,0,1920.0,1,0,54,172,0,0,0,0,7,2008,2.0,3,2,3,3,1,1,1,3,3,8,0,1,3,2,1,3,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,40000
1.0,69.0,8544,5,6,1966,2006,0.0,1228,1228,0,0,1228,0,0,1,1,1,6,0,1966.0,1,0,65,0,0,0,0,0,6,2008,1.0,3,3,3,3,1,1,1,4,4,8,0,1,3,3,3,3,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,149350
1.0,85.0,11049,8,5,2007,2007,0.0,1234,1234,0,0,1234,0,0,2,0,1,7,0,2007.0,2,0,30,0,0,0,0,0,1,2008,1.0,4,3,5,3,3,1,1,5,4,8,0,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,179900
1.0,70.0,10552,5,5,1959,1959,0.0,1398,1700,0,0,1700,0,1,1,1,1,6,1,1959.0,2,0,38,0,0,0,0,0,4,2010,1.0,3,3,3,3,1,3,1,4,4,8,4,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,165500
9.0,60.0,7313,9,5,2005,2005,246.0,1561,1561,0,0,1561,1,0,2,0,1,6,1,2005.0,2,203,47,0,0,0,0,0,8,2007,1.0,5,3,5,3,1,6,1,5,5,8,4,3,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,277500
5.0,108.0,13418,8,5,2004,2005,132.0,1117,1132,1320,0,2452,0,0,3,1,1,9,1,2004.0,3,113,32,0,0,0,0,0,9,2006,2.0,4,3,5,3,3,1,1,5,4,8,4,3,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,309000
1.0,112.0,10859,5,5,1994,1995,0.0,1097,1097,0,0,1097,0,0,1,1,1,6,0,1995.0,2,392,64,0,0,0,0,0,6,2009,1.0,3,3,4,3,1,1,1,5,3,8,0,1,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,145000
1.0,74.0,8532,5,6,1954,1990,650.0,1297,1297,0,0,1297,0,1,1,0,1,5,1,1954.0,2,0,0,0,0,0,0,0,10,2009,1.0,3,3,3,3,1,3,1,4,3,8,3,3,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,153000
1.0,68.0,7922,5,7,1953,2007,0.0,1057,1057,0,0,1057,1,0,1,0,1,5,0,1953.0,1,0,52,0,0,0,0,0,1,2010,1.0,3,4,3,3,1,6,1,3,4,8,0,1,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,109000
8.0,65.0,6040,4,5,1955,1955,0.0,0,1152,0,0,1152,0,0,2,0,2,6,0,,0,0,0,0,0,0,0,0,6,2008,1.0,3,3,0,0,0,0,0,3,2,8,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,82000
1.0,84.0,8658,6,5,1965,1965,101.0,1088,1324,0,0,1324,0,0,2,0,1,6,1,1965.0,2,0,138,0,0,0,0,0,12,2006,1.0,3,3,3,3,1,3,1,5,3,8,3,2,3,3,3,2,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,160000
1.0,115.0,16905,5,6,1959,1959,0.0,1350,1328,0,0,1328,0,1,1,1,1,5,2,1959.0,1,0,104,0,0,0,0,0,7,2007,1.0,3,4,3,3,4,4,1,4,3,8,4,2,3,3,2,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,170000
7.5,69.0,9180,5,7,1983,1983,0.0,840,884,0,0,884,1,0,1,0,1,5,0,1983.0,2,240,0,0,0,0,0,0,12,2007,0.0,3,3,4,3,3,5,2,4,4,8,0,2,3,4,3,3,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,144000
1.0,69.0,9200,5,6,1975,1980,0.0,938,938,0,0,938,1,0,1,0,1,5,0,1977.0,1,145,0,0,0,0,0,0,7,2008,1.0,3,3,4,3,3,2,4,3,3,8,0,1,3,3,3,3,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,130250
1.0,70.0,7945,5,6,1959,1959,0.0,1150,1150,0,0,1150,1,0,1,0,1,6,0,1959.0,1,0,0,0,0,0,0,0,5,2006,1.0,3,3,3,3,1,5,4,5,3,8,0,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,141000
9.0,61.0,7658,9,5,2005,2005,412.0,1752,1752,0,0,1752,1,0,2,0,1,6,1,2005.0,2,196,82,0,0,0,0,0,2,2010,1.0,5,3,5,3,1,6,1,5,5,8,4,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,319900
4.0,48.0,12822,7,5,2003,2003,0.0,1434,1518,631,0,2149,1,0,1,1,1,6,1,2003.0,2,168,43,0,0,198,0,0,8,2009,1.5,4,3,5,3,1,6,1,5,4,8,5,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,239686
1.0,84.0,11096,8,5,2006,2006,0.0,1656,1656,0,0,1656,0,0,2,0,1,7,0,2006.0,3,0,146,0,0,0,0,0,7,2007,1.0,4,3,4,3,3,6,1,5,4,8,0,2,3,3,3,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,249700
13.0,33.0,4456,4,5,1920,2008,0.0,736,736,716,0,1452,0,0,2,0,3,8,0,,0,0,0,102,0,0,0,0,6,2009,2.0,3,3,3,3,1,1,1,4,3,8,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,113000
1.0,66.0,7742,5,7,1966,1966,0.0,955,955,0,0,955,1,0,1,0,1,6,0,1966.0,1,0,0,0,0,0,0,0,1,2007,1.0,3,3,3,3,1,4,1,5,3,8,0,1,3,3,3,3,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,127000
5.0,69.0,13869,6,6,1997,1997,0.0,794,794,676,0,1470,0,1,2,0,1,6,0,1997.0,2,0,75,0,0,0,0,0,7,2007,2.0,3,3,4,3,3,6,1,4,3,8,0,3,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,177000
4.0,52.0,6240,6,6,1934,1950,0.0,816,816,0,360,1176,0,0,1,0,1,6,1,1985.0,2,112,0,0,0,0,0,400,9,2006,1.5,3,3,3,3,1,1,1,3,3,8,4,1,3,3,3,3,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,114500
8.0,110.0,8472,5,5,1963,1963,0.0,816,816,0,0,816,1,0,1,0,1,5,0,1963.0,2,106,0,0,0,0,0,0,5,2010,1.0,2,3,4,3,4,2,6,3,3,8,0,1,3,3,3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,110000
1.0,68.0,50271,9,5,1981,1987,0.0,1842,1842,0,0,1842,2,0,0,1,1,5,1,1981.0,3,857,72,0,0,0,0,0,11,2006,1.0,4,3,5,3,4,6,1,4,4,8,4,3,3,3,3,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,385000
7.0,60.0,7134,5,5,1955,1955,0.0,384,1360,0,0,1360,0,0,1,0,1,6,1,1962.0,2,0,50,0,0,0,0,0,2,2007,0.5,3,3,3,3,1,5,1,3,3,7,3,1,3,3,3,3,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,130000
1.0,100.0,10175,6,5,1964,1964,272.0,1425,1425,0,0,1425,0,0,2,0,1,7,1,1964.0,2,0,0,0,407,0,0,0,7,2008,1.0,3,3,3,3,1,4,1,4,3,8,4,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,180500
11.0,24.0,2645,8,5,1999,2000,456.0,970,983,756,0,1739,1,0,2,1,1,7,0,1999.0,2,115,0,0,0,0,0,0,8,2009,2.0,4,3,4,3,1,6,1,5,4,8,0,3,3,3,3,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,172500
5.0,89.0,11645,7,5,2004,2004,0.0,860,860,860,0,1720,0,0,2,1,1,7,0,2004.0,2,0,70,0,0,0,0,0,8,2006,2.0,4,3,4,3,1,1,1,5,4,8,0,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,196500
5.0,66.0,13682,10,5,2006,2006,1031.0,1410,1426,1519,0,2945,0,0,3,1,1,10,1,2006.0,3,192,0,37,0,0,0,0,10,2006,2.0,5,3,5,3,4,1,1,5,4,8,4,3,3,3,3,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,438780
